Time [s],T1,T2,T3,T4,T5
24.262845417,0,0,0,1,0
24.263281125,0,0,0,0,0
24.313317625,0,0,0,1,0
24.313759375,0,0,0,0,0
24.363806542,0,0,1,0,0
24.363924875,0,0,0,0,0
24.363935750,1,0,0,0,0
24.385994375,0,0,0,0,0
24.386004917,0,1,0,0,0
24.386115542,0,0,0,0,0
24.386133417,0,0,0,1,0
24.386575167,0,0,0,0,0
24.386592042,0,0,0,0,1
24.442119667,0,0,0,0,0
24.442137542,0,0,0,1,0
24.442573250,0,0,0,0,0
24.464757917,0,0,0,1,0
24.465199667,0,0,0,0,0
24.515240667,0,0,0,1,0
24.515682417,0,0,0,0,0
24.565718917,0,0,0,1,0
24.566154625,0,0,0,0,0
24.616201667,0,0,0,1,0
24.616637375,0,0,0,0,0
24.666684417,0,0,0,1,0
24.667126167,0,0,0,0,0
24.717162375,0,0,0,1,0
24.717598042,0,0,0,0,0
24.767645125,0,0,0,1,0
24.768080792,0,0,0,0,0
24.818117000,0,0,0,1,0
24.818558750,0,0,0,0,0
24.868600167,0,0,1,0,0
24.868716750,0,0,0,0,0
24.868727625,1,0,0,0,0
24.929618375,0,0,0,0,0
24.929628917,0,1,0,0,0
24.929739542,0,0,0,0,0
24.929757417,0,0,0,1,0
24.930199167,0,0,0,0,0
24.930216042,0,0,0,0,1
24.985722125,0,0,0,0,0
